farmer_id,district,taluk,village,farm_size,experience,primary_crop,preferred_language
F0001,Thanjavur,Papanasam,Melattur,2.17,7,Rice,Tamil
F0002,Thanjavur,Thanjavur,Ammapettai,1.2,15,Sugarcane,Tamil
F0003,Thanjavur,Orathanadu,Melattur,3.87,18,Rice,Tamil
F0004,Thanjavur,Orathanadu,Thiruvaiyaru,2.58,14,Rice,English
F0005,Cuddalore,Cuddalore,Kumaratchi,1.23,23,Rice,Tamil
F0006,Thanjavur,Thanjavur,Budalur,1.09,19,Sugarcane,Tamil
F0007,Cuddalore,Cuddalore,Nallur,5.46,19,Groundnut,English
F0008,Thanjavur,Orathanadu,Thiruvaiyaru,3.9,24,Rice,Tamil
F0009,Cuddalore,Panruti,Nallur,5.07,11,Groundnut,Tamil
F0010,Thanjavur,Orathanadu,Budalur,2.52,36,Rice,Tamil
F0011,Cuddalore,Chidambaram,Nallur,6.54,26,Rice,Tamil
F0012,Thanjavur,Kumbakonam,Budalur,3.47,30,Rice,Tamil
F0013,Thanjavur,Papanasam,Ayyampettai,3.71,38,Rice,Tamil
F0014,Thanjavur,Orathanadu,Ammapettai,6.17,8,Rice,Tamil
F0015,Thanjavur,Thanjavur,Budalur,3.36,30,Sugarcane,Tamil
F0016,Thanjavur,Papanasam,Thiruvaiyaru,1.34,28,Rice,Tamil
F0017,Thanjavur,Kumbakonam,Ayyampettai,7.34,20,Rice,Tamil
F0018,Thanjavur,Papanasam,Melattur,4.55,34,Rice,English
F0019,Cuddalore,Cuddalore,Nallur,7.47,20,Groundnut,Tamil
F0020,Thanjavur,Thanjavur,Budalur,6.62,35,Rice,Tamil
F0021,Thanjavur,Kumbakonam,Thiruvaiyaru,4.46,39,Sugarcane,Tamil
F0022,Thanjavur,Papanasam,Budalur,7.96,24,Rice,Tamil
F0023,Cuddalore,Chidambaram,Kurinjipadi,0.98,2,Rice,Tamil
F0024,Thanjavur,Thanjavur,Ammapettai,5.81,4,Rice,Tamil
F0025,Thanjavur,Thanjavur,Ayyampettai,2.29,32,Rice,Tamil
F0026,Thanjavur,Kumbakonam,Budalur,6.56,13,Sugarcane,Tamil
F0027,Cuddalore,Virudhachalam,Kumaratchi,4.0,4,Rice,Tamil
F0028,Thanjavur,Orathanadu,Thiruvaiyaru,6.5,7,Rice,Tamil
F0029,Thanjavur,Kumbakonam,Budalur,1.88,30,Sugarcane,Tamil
F0030,Thanjavur,Thanjavur,Ammapettai,5.39,35,Sugarcane,Tamil
F0031,Thanjavur,Kumbakonam,Budalur,4.14,14,Rice,English
F0032,Thanjavur,Orathanadu,Ammapettai,7.89,17,Rice,English
F0033,Cuddalore,Virudhachalam,Sethiathope,5.46,32,Rice,Tamil
F0034,Cuddalore,Cuddalore,Sethiathope,6.02,4,Groundnut,Tamil
F0035,Thanjavur,Orathanadu,Ayyampettai,7.4,34,Rice,Tamil
F0036,Thanjavur,Thanjavur,Ayyampettai,1.01,16,Rice,Tamil
F0037,Thanjavur,Thanjavur,Budalur,5.43,37,Rice,Tamil
F0038,Cuddalore,Panruti,Kurinjipadi,2.49,9,Groundnut,Tamil
F0039,Cuddalore,Panruti,Nallur,0.57,40,Groundnut,English
F0040,Thanjavur,Kumbakonam,Ayyampettai,2.49,23,Rice,English
F0041,Thanjavur,Papanasam,Melattur,3.79,35,Rice,Tamil
F0042,Thanjavur,Thanjavur,Melattur,2.48,7,Rice,Tamil
F0043,Thanjavur,Papanasam,Ayyampettai,2.08,22,Rice,Tamil
F0044,Cuddalore,Panruti,Nallur,1.19,28,Groundnut,Tamil
F0045,Thanjavur,Papanasam,Melattur,5.28,17,Rice,Tamil
F0046,Cuddalore,Cuddalore,Nallur,1.06,10,Groundnut,Tamil
F0047,Cuddalore,Virudhachalam,Kurinjipadi,0.81,24,Groundnut,English
F0048,Thanjavur,Kumbakonam,Melattur,5.5,23,Rice,Tamil
F0049,Cuddalore,Chidambaram,Kurinjipadi,7.82,12,Groundnut,English
F0050,Thanjavur,Papanasam,Budalur,6.52,16,Rice,Tamil
F0051,Thanjavur,Thanjavur,Budalur,2.17,30,Sugarcane,Tamil
F0052,Thanjavur,Thanjavur,Melattur,3.49,18,Rice,English
F0053,Cuddalore,Virudhachalam,Sethiathope,2.98,2,Rice,Tamil
F0054,Cuddalore,Panruti,Nallur,1.31,28,Groundnut,Tamil
F0055,Cuddalore,Cuddalore,Kumaratchi,7.25,13,Groundnut,Tamil
F0056,Cuddalore,Chidambaram,Parangipettai,3.73,22,Rice,Tamil
F0057,Thanjavur,Papanasam,Budalur,2.95,19,Rice,Tamil
F0058,Thanjavur,Orathanadu,Melattur,5.12,20,Sugarcane,Tamil
F0059,Thanjavur,Papanasam,Melattur,3.72,38,Rice,Tamil
F0060,Cuddalore,Virudhachalam,Kumaratchi,5.57,33,Groundnut,Tamil
F0061,Thanjavur,Papanasam,Ayyampettai,5.48,40,Rice,Tamil
F0062,Thanjavur,Kumbakonam,Melattur,1.61,3,Rice,Tamil
F0063,Cuddalore,Virudhachalam,Kumaratchi,7.15,37,Rice,Tamil
F0064,Cuddalore,Virudhachalam,Kurinjipadi,1.61,1,Groundnut,English
F0065,Thanjavur,Kumbakonam,Melattur,6.53,34,Sugarcane,Tamil
F0066,Thanjavur,Orathanadu,Melattur,6.51,34,Rice,English
F0067,Cuddalore,Virudhachalam,Sethiathope,3.84,11,Groundnut,Tamil
F0068,Cuddalore,Panruti,Kurinjipadi,6.8,18,Groundnut,Tamil
F0069,Cuddalore,Panruti,Kumaratchi,1.08,19,Groundnut,Tamil
F0070,Cuddalore,Cuddalore,Kurinjipadi,1.63,25,Rice,Tamil
F0071,Thanjavur,Orathanadu,Budalur,2.98,30,Rice,Tamil
F0072,Thanjavur,Orathanadu,Ayyampettai,7.6,2,Sugarcane,English
F0073,Cuddalore,Cuddalore,Parangipettai,2.74,25,Groundnut,English
F0074,Cuddalore,Virudhachalam,Kurinjipadi,2.55,32,Groundnut,Tamil
F0075,Cuddalore,Chidambaram,Kumaratchi,7.4,40,Groundnut,Tamil
F0076,Cuddalore,Cuddalore,Kumaratchi,1.52,30,Rice,Tamil
F0077,Cuddalore,Panruti,Kurinjipadi,3.91,22,Groundnut,Tamil
F0078,Cuddalore,Virudhachalam,Parangipettai,6.76,31,Rice,Tamil
F0079,Thanjavur,Kumbakonam,Ammapettai,6.36,3,Rice,Tamil
F0080,Thanjavur,Thanjavur,Ayyampettai,1.64,9,Rice,Tamil
F0081,Thanjavur,Orathanadu,Thiruvaiyaru,6.25,11,Rice,Tamil
F0082,Thanjavur,Papanasam,Ammapettai,4.84,20,Rice,Tamil
F0083,Cuddalore,Chidambaram,Nallur,4.94,16,Groundnut,Tamil
F0084,Cuddalore,Cuddalore,Parangipettai,4.5,24,Rice,Tamil
F0085,Cuddalore,Virudhachalam,Kumaratchi,1.29,24,Rice,Tamil
F0086,Cuddalore,Virudhachalam,Kurinjipadi,6.0,18,Groundnut,Tamil
F0087,Cuddalore,Virudhachalam,Sethiathope,2.51,16,Groundnut,Tamil
F0088,Thanjavur,Orathanadu,Melattur,6.13,37,Rice,Tamil
F0089,Cuddalore,Cuddalore,Kumaratchi,6.88,12,Rice,Tamil
F0090,Cuddalore,Panruti,Parangipettai,7.1,18,Rice,Tamil
F0091,Thanjavur,Kumbakonam,Budalur,4.16,16,Rice,Tamil
F0092,Cuddalore,Cuddalore,Nallur,2.71,26,Groundnut,Tamil
F0093,Cuddalore,Virudhachalam,Sethiathope,4.48,28,Rice,English
F0094,Cuddalore,Virudhachalam,Parangipettai,2.8,15,Rice,Tamil
F0095,Thanjavur,Thanjavur,Ayyampettai,7.63,12,Rice,Tamil
F0096,Cuddalore,Panruti,Nallur,6.74,19,Rice,Tamil
F0097,Thanjavur,Thanjavur,Ayyampettai,1.45,3,Rice,English
F0098,Cuddalore,Virudhachalam,Nallur,7.05,37,Groundnut,Tamil
F0099,Cuddalore,Panruti,Kurinjipadi,7.74,17,Groundnut,English
F0100,Cuddalore,Cuddalore,Kumaratchi,4.19,37,Rice,Tamil
F0101,Thanjavur,Kumbakonam,Ayyampettai,7.62,6,Rice,English
F0102,Thanjavur,Kumbakonam,Ayyampettai,3.35,29,Sugarcane,Tamil
F0103,Cuddalore,Cuddalore,Sethiathope,7.7,7,Rice,English
F0104,Thanjavur,Papanasam,Ammapettai,1.68,12,Rice,Tamil
F0105,Thanjavur,Orathanadu,Budalur,5.67,31,Rice,Tamil
F0106,Thanjavur,Papanasam,Budalur,1.03,15,Rice,English
F0107,Thanjavur,Thanjavur,Ayyampettai,2.19,10,Sugarcane,English
F0108,Thanjavur,Thanjavur,Melattur,6.44,39,Rice,Tamil
