intent_signature,intent,intent_tamil,crop,crop_tamil,soil_type,soil_tamil,required_entities,response_policy
AGR|CROP_SELECTION|CROP=rice|SOIL=red,crop_selection,பயிர் தேர்வு,rice,நெல்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=rice|SOIL=black,crop_selection,பயிர் தேர்வு,rice,நெல்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=rice|SOIL=alluvial,crop_selection,பயிர் தேர்வு,rice,நெல்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=rice|SOIL=sandy,crop_selection,பயிர் தேர்வு,rice,நெல்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=rice|SOIL=clay,crop_selection,பயிர் தேர்வு,rice,நெல்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=rice|SOIL=loamy,crop_selection,பயிர் தேர்வு,rice,நெல்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=rice|SOIL=laterite,crop_selection,பயிர் தேர்வு,rice,நெல்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=banana|SOIL=red,crop_selection,பயிர் தேர்வு,banana,வாழை,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=banana|SOIL=black,crop_selection,பயிர் தேர்வு,banana,வாழை,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=banana|SOIL=alluvial,crop_selection,பயிர் தேர்வு,banana,வாழை,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=banana|SOIL=sandy,crop_selection,பயிர் தேர்வு,banana,வாழை,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=banana|SOIL=clay,crop_selection,பயிர் தேர்வு,banana,வாழை,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=banana|SOIL=loamy,crop_selection,பயிர் தேர்வு,banana,வாழை,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=banana|SOIL=laterite,crop_selection,பயிர் தேர்வு,banana,வாழை,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sugarcane|SOIL=red,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sugarcane|SOIL=black,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sugarcane|SOIL=alluvial,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sugarcane|SOIL=sandy,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sugarcane|SOIL=clay,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sugarcane|SOIL=loamy,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sugarcane|SOIL=laterite,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=cotton|SOIL=red,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=cotton|SOIL=black,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=cotton|SOIL=alluvial,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=cotton|SOIL=sandy,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=cotton|SOIL=clay,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=cotton|SOIL=loamy,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=cotton|SOIL=laterite,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=groundnut|SOIL=red,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=groundnut|SOIL=black,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=groundnut|SOIL=alluvial,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=groundnut|SOIL=sandy,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=groundnut|SOIL=clay,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=groundnut|SOIL=loamy,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=groundnut|SOIL=laterite,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=maize|SOIL=red,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
