parcel_id,farmer_id,district,taluk,village,survey_no,subdivision_no,area,latitude,longitude,land_category,irrigation_source,soil_type
P0001,F0078,Cuddalore,Virudhachalam,Parangipettai,525/3,1,0.63,11.472484,79.412281,Garden Land,Borewell,Loam
P0002,F0160,Thanjavur,Kumbakonam,Ayyampettai,456/16,1,0.58,10.671533,79.392135,Dryland,River,Loam
P0003,F0035,Thanjavur,Orathanadu,Ayyampettai,969/11,1,0.67,10.650132,79.405093,Garden Land,Borewell,Clay Loam
P0004,F0265,Cuddalore,Virudhachalam,Kurinjipadi,573/8,4,2.09,11.387227,79.480068,Garden Land,Borewell,Clay Loam
P0005,F0328,Cuddalore,Virudhachalam,Kurinjipadi,302/15,5,2.66,11.628654,79.597791,Dryland,River,Clay
P0006,F0110,Cuddalore,Cuddalore,Sethiathope,164/19,1,0.7,11.402892,79.776163,Garden Land,Borewell,Loam
P0007,F0167,Thanjavur,Kumbakonam,Ayyampettai,601/17,3,0.74,10.598537,79.056977,Garden Land,River,Alluvial
P0008,F0201,Cuddalore,Chidambaram,Sethiathope,732/6,3,1.98,11.593502,79.573962,Garden Land,Rainfed,Clay
P0009,F0345,Cuddalore,Virudhachalam,Kumaratchi,287/12,2,0.68,11.366974,79.458931,Garden Land,River,Sandy Loam
P0010,F0306,Thanjavur,Papanasam,Budalur,750/18,2,0.89,10.568934,79.191855,Garden Land,Borewell,Sandy Loam
P0011,F0148,Thanjavur,Orathanadu,Thiruvaiyaru,154/12,1,1.74,10.570148,79.15729,Dryland,Borewell,Clay Loam
P0012,F0197,Thanjavur,Papanasam,Ammapettai,801/16,4,1.75,10.981915,79.252719,Garden Land,River,Sandy Loam
P0013,F0086,Cuddalore,Virudhachalam,Kurinjipadi,399/2,3,2.74,11.341335,79.41543,Wetland,Rainfed,Loam
P0014,F0087,Cuddalore,Virudhachalam,Sethiathope,607/18,5,2.01,11.69037,79.682825,Wetland,Rainfed,Clay
P0015,F0138,Cuddalore,Chidambaram,Kumaratchi,942/2,4,1.47,11.687557,79.811641,Garden Land,Borewell,Sandy Loam
P0016,F0053,Cuddalore,Virudhachalam,Sethiathope,995/2,4,0.96,11.667994,79.726836,Dryland,Tank,Clay
P0017,F0225,Cuddalore,Cuddalore,Nallur,314/19,3,2.9,11.732645,79.458693,Garden Land,Rainfed,Sandy Loam
P0018,F0085,Cuddalore,Virudhachalam,Kumaratchi,924/2,5,1.11,11.608076,79.792425,Dryland,Rainfed,Loam
