english,tamil
asking about the control measure for aphid infestation in mustard crops,கடுகு பயிர்களில் அசுவினி தாக்குதலை கட்டுப்படுத்தும் நடவடிக்கை குறித்து கேட்டறிந்தார்
suggested him to spray rogor@2ml/lit.at evening time.,மாலை நேரத்தில் rogor@2ml/lit.ஐ தெளிக்குமாறு பரிந்துரைத்தார்.
asking about the control measure of flower drop problem in his coconut plant,தென்னை செடியில் பூ துளி பிரச்சனையை கட்டுப்படுத்தும் முறை பற்றி கேட்டறிந்தார்
"suggested him to apply fertilizer in recommended dose like urea-600gm,ssp-1kg,mop-700gm,borax-25gm twice in a year(march/april and september/october)followed by trench method and also suggested him to spray planofix@1teaspoonful per20-25 liter of water.","யூரியா-600gm, ssp-1kg, mop-700gm, borax-25gm போன்ற பரிந்துரைக்கப்பட்ட அளவு உரங்களை வருடத்திற்கு இரண்டு முறை (மார்ச்/ஏப்ரல் மற்றும் செப்டம்பர்/அக்டோபர்) ட்ரெஞ்ச் முறையைப் பின்பற்றி, 20-25 லிட்டர் தண்ணீருக்கு பிளானோஃபிக்ஸ் @ 1 டீஸ்பூன் தெளிக்குமாறு அவருக்கு பரிந்துரைத்தார்."
asking about how to avail kisan credit card loan for sali crop.,சாலி பயிருக்கு கிசான் கிரெடிட் கார்டு கடனை எப்படிப் பெறுவது என்று கேட்கிறார்.
"suggested to consult with officer-marketing and recovery (rural),sbi local branch for details.","விவரங்களுக்கு அதிகாரி-சந்தைப்படுத்தல் மற்றும் மீட்பு (கிராமப்புற), எஸ்பிஐ உள்ளூர் கிளையுடன் கலந்தாலோசிக்க பரிந்துரைக்கப்படுகிறது."
asking about source of early ahu rice variety,ஆரம்பகால அஹு அரிசி வகையின் ஆதாரம் பற்றி கேட்டேன்
"suggested to take early ahu rice variety from atic,jorhat,aau campus through parcel or direct taking.","ஆரம்பகால அஹு அரிசி வகைகளை அட்டிக், ஜோர்ஹாட், ஆவ் வளாகத்தில் இருந்து பார்சல் அல்லது நேரடியாக எடுத்துச் செல்ல பரிந்துரைக்கப்படுகிறது."
asking that he has not got proper friut from his coconut plant,தென்னைச் செடியில் சரியான காய் கிடைக்கவில்லை என்று கேட்டார்
"suggested him to aplly recommended fertilizer dose-urea@1.5 kg,ssp@2.5kg,mop@1.75 kg,borax@25 gm./plant/year in trench method.","பரிந்துரைக்கப்பட்ட உர அளவு-யூரியா@1.5 கிலோ, எஸ்எஸ்பி@2.5 கிலோ, மாப்@1.75 கிலோ, போராக்ஸ்@25 கிராம்./ஆண்டுக்கு அகழி முறையில் பயன்படுத்த பரிந்துரைக்கப்பட்டது."
asking about induced breeding of fishes,மீன்களின் தூண்டப்பட்ட இனப்பெருக்கம் பற்றி கேட்கிறது
given details about induced breeding of fishes.,மீன்களின் தூண்டப்பட்ட இனப்பெருக்கம் பற்றிய விவரங்கள் கொடுக்கப்பட்டுள்ளன.
asking about training for preparation of biomanure,உயிர் உரம் தயாரிப்பதற்கான பயிற்சி குறித்து கேட்டறிந்தார்
"suggested to approach district agricultural officer  or atic,jorhat,ph (0376)2310240","மாவட்ட வேளாண் அதிகாரி அல்லது அட்டிக், ஜோர்ஹாட், பிஎச் (0376)2310240 ஐ அணுகுமாறு பரிந்துரைக்கப்படுகிறது."
asking about treatment of low production of milk in cow,பசுவில் குறைந்த பால் உற்பத்திக்கான சிகிச்சை குறித்து கேட்டறிந்தார்
