canonical_answer_id,intent,intent_tamil,crop,crop_tamil,soil_type,soil_tamil,answer
CA_00001,crop_selection,பயிர் தேர்வு,rice,நெல்,red,செம்மண்,"நெல் தொடர்பான முடிவை செம்மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00002,crop_selection,பயிர் தேர்வு,rice,நெல்,black,கரிசல் மண்,"நெல் தொடர்பான முடிவை கரிசல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00003,crop_selection,பயிர் தேர்வு,rice,நெல்,alluvial,வண்டல் மண்,"நெல் தொடர்பான முடிவை வண்டல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00004,crop_selection,பயிர் தேர்வு,rice,நெல்,sandy,மணல் மண்,"நெல் தொடர்பான முடிவை மணல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00005,crop_selection,பயிர் தேர்வு,rice,நெல்,clay,களிமண்,"நெல் தொடர்பான முடிவை களிமண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00006,crop_selection,பயிர் தேர்வு,rice,நெல்,loamy,கலப்பு மண்,"நெல் தொடர்பான முடிவை கலப்பு மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00007,crop_selection,பயிர் தேர்வு,rice,நெல்,laterite,சரளை மண்,"நெல் தொடர்பான முடிவை சரளை மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00008,crop_selection,பயிர் தேர்வு,banana,வாழை,red,செம்மண்,"வாழை தொடர்பான முடிவை செம்மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00009,crop_selection,பயிர் தேர்வு,banana,வாழை,black,கரிசல் மண்,"வாழை தொடர்பான முடிவை கரிசல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00010,crop_selection,பயிர் தேர்வு,banana,வாழை,alluvial,வண்டல் மண்,"வாழை தொடர்பான முடிவை வண்டல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00011,crop_selection,பயிர் தேர்வு,banana,வாழை,sandy,மணல் மண்,"வாழை தொடர்பான முடிவை மணல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00012,crop_selection,பயிர் தேர்வு,banana,வாழை,clay,களிமண்,"வாழை தொடர்பான முடிவை களிமண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00013,crop_selection,பயிர் தேர்வு,banana,வாழை,loamy,கலப்பு மண்,"வாழை தொடர்பான முடிவை கலப்பு மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00014,crop_selection,பயிர் தேர்வு,banana,வாழை,laterite,சரளை மண்,"வாழை தொடர்பான முடிவை சரளை மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00015,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,red,செம்மண்,"கரும்பு தொடர்பான முடிவை செம்மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
