parcel_id,date,crop_stage,risk_level,recommendation,source
P0001,2025-03-31,Maturity,high,Delay fertilizer until rainfall subsides.,ml_model
P0001,2025-06-21,Tillering,medium,Apply light irrigation in evening.,ml_model
P0001,2025-03-01,Tillering,high,Do not irrigate today — soil moisture adequate.,weather_service
P0001,2025-02-07,Tillering,high,Do not irrigate today — soil moisture adequate.,weather_service
P0001,2025-03-09,Flowering,medium,Field conditions stable — continue regular monitoring.,ml_model
P0002,2025-01-09,Flowering,low,Delay fertilizer until rainfall subsides.,rule_engine
P0002,2025-03-14,Flowering,high,Field conditions stable — continue regular monitoring.,weather_service
P0002,2025-05-24,Maturity,medium,Delay fertilizer until rainfall subsides.,weather_service
P0002,2025-07-12,Vegetative,medium,Apply light irrigation in evening.,weather_service
P0002,2025-05-05,Panicle Initiation,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0002,2025-03-25,Maturity,high,Delay fertilizer until rainfall subsides.,ml_model
P0002,2025-02-28,Tillering,medium,Monitor for stem borer — scout field edges.,weather_service
P0002,2025-03-09,Seedling,low,Do not irrigate today — soil moisture adequate.,weather_service
P0003,2025-05-11,Flowering,medium,Monitor for stem borer — scout field edges.,ml_model
P0003,2025-02-12,Flowering,medium,Monitor for stem borer — scout field edges.,rule_engine
P0004,2025-07-06,Panicle Initiation,high,Apply light irrigation in evening.,rule_engine
P0004,2025-02-21,Flowering,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0004,2025-04-26,Peg Formation,high,Apply light irrigation in evening.,ml_model
P0005,2025-02-17,Seedling,low,Do not irrigate today — soil moisture adequate.,weather_service
P0005,2025-07-06,Maturity,high,Delay fertilizer until rainfall subsides.,ml_model
P0006,2025-03-28,Flowering,low,Monitor for stem borer — scout field edges.,rule_engine
P0006,2025-04-27,Maturity,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0006,2025-06-06,Peg Formation,low,Monitor for stem borer — scout field edges.,ml_model
P0006,2025-02-02,Seedling,low,Field conditions stable — continue regular monitoring.,rule_engine
P0006,2025-01-24,Vegetative,medium,Monitor for stem borer — scout field edges.,weather_service
P0006,2025-01-21,Vegetative,low,Delay fertilizer until rainfall subsides.,weather_service
P0006,2025-06-18,Germination,low,Field conditions stable — continue regular monitoring.,rule_engine
P0006,2025-02-18,Flowering,low,Apply light irrigation in evening.,rule_engine
P0007,2025-04-16,Seedling,low,Do not irrigate today — soil moisture adequate.,weather_service
P0007,2025-02-27,Peg Formation,high,Field conditions stable — continue regular monitoring.,weather_service
P0007,2025-06-12,Seedling,low,Apply light irrigation in evening.,ml_model
P0007,2025-03-21,Maturity,medium,Field conditions stable — continue regular monitoring.,ml_model
P0007,2025-05-28,Vegetative,low,Do not irrigate today — soil moisture adequate.,weather_service
P0007,2025-05-04,Seedling,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0007,2025-01-08,Maturity,low,Delay fertilizer until rainfall subsides.,rule_engine
P0007,2025-03-12,Seedling,low,Apply light irrigation in evening.,ml_model
P0008,2025-06-07,Flowering,medium,Delay fertilizer until rainfall subsides.,ml_model
P0008,2025-04-09,Maturity,medium,Apply light irrigation in evening.,ml_model
P0008,2025-04-02,Panicle Initiation,high,Apply light irrigation in evening.,rule_engine
P0008,2025-01-22,Flowering,high,Monitor for stem borer — scout field edges.,rule_engine
P0008,2025-05-15,Flowering,medium,Monitor for stem borer — scout field edges.,ml_model
P0009,2025-02-12,Flowering,high,Apply light irrigation in evening.,weather_service
P0009,2025-03-30,Seedling,low,Delay fertilizer until rainfall subsides.,rule_engine
P0009,2025-05-27,Peg Formation,medium,Monitor for stem borer — scout field edges.,weather_service
P0009,2025-05-31,Flowering,low,Do not irrigate today — soil moisture adequate.,weather_service
P0009,2025-07-02,Germination,high,Delay fertilizer until rainfall subsides.,ml_model
P0010,2025-02-19,Vegetative,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0010,2025-02-16,Vegetative,medium,Field conditions stable — continue regular monitoring.,weather_service
P0010,2025-02-08,Vegetative,high,Delay fertilizer until rainfall subsides.,weather_service
P0011,2025-01-27,Seedling,high,Monitor for stem borer — scout field edges.,ml_model
P0011,2025-06-07,Germination,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0011,2025-05-22,Peg Formation,low,Apply light irrigation in evening.,rule_engine
P0012,2025-06-15,Germination,low,Do not irrigate today — soil moisture adequate.,ml_model
