parcel_id,year,season,crop,area,production,yield,sowing_date,harvest_date,fertilizer,pesticide,irrigation_count
P0001,2020,Kharif,Groundnut,0.63,0.89,1.41,2020-07-15,2020-12-01,DAP,Chlorpyrifos,16
P0001,2021,Rabi,Groundnut,0.63,0.79,1.25,2021-11-07,2022-03-01,Urea,Tricyclazole,22
P0001,2021,Summer,Groundnut,0.63,1.83,2.91,2021-11-01,2022-03-15,DAP,Tricyclazole,21
P0001,2022,Kharif,Rice,0.63,2.7,4.28,2022-10-01,2023-02-09,NPK 19:19:19,Tricyclazole,14
P0001,2022,Rabi,Rice,0.63,2.41,3.82,2022-11-06,2023-04-05,DAP,Carbendazim,19
P0001,2022,Summer,Groundnut,0.63,1.57,2.5,2022-10-08,2023-02-09,NPK 19:19:19,None,15
P0001,2023,Kharif,Rice,0.63,2.36,3.75,2023-11-23,2024-03-03,MOP,Carbendazim,20
P0001,2023,Summer,Groundnut,0.63,1.03,1.64,2023-11-03,2024-03-09,DAP,Carbendazim,19
P0001,2024,Kharif,Rice,0.63,1.88,2.99,2024-11-06,2025-02-24,Organic Compost,Chlorpyrifos,9
P0001,2024,Rabi,Rice,0.63,1.51,2.4,2024-06-25,2024-10-17,DAP,None,25
P0002,2020,Rabi,Sugarcane,0.58,1.83,3.15,2020-07-10,2020-10-27,MOP,Chlorpyrifos,15
P0002,2020,Summer,Rice,0.58,2.78,4.79,2020-06-08,2020-09-21,Organic Compost,Chlorpyrifos,17
P0002,2021,Kharif,Sugarcane,0.58,1.75,3.02,2021-07-08,2021-10-17,DAP,None,10
P0002,2021,Rabi,Rice,0.58,3.2,5.51,2021-07-18,2021-11-02,Organic Compost,Carbendazim,13
P0002,2022,Kharif,Rice,0.58,3.16,5.45,2022-06-11,2022-09-29,Organic Compost,None,24
P0002,2022,Rabi,Rice,0.58,1.29,2.22,2022-11-05,2023-02-23,DAP,Chlorpyrifos,15
P0002,2022,Summer,Rice,0.58,2.35,4.05,2022-10-15,2023-02-07,Urea,Chlorpyrifos,13
P0002,2023,Kharif,Rice,0.58,1.16,2.0,2023-06-13,2023-09-29,NPK 19:19:19,Tricyclazole,20
P0002,2023,Rabi,Sugarcane,0.58,1.09,1.88,2023-11-21,2024-04-02,Organic Compost,Tricyclazole,16
P0002,2023,Summer,Sugarcane,0.58,0.77,1.32,2023-07-17,2023-11-25,Urea,Chlorpyrifos,10
