soil_type,soil_name_tamil,texture,drainage,pH_range,organic_matter,water_holding_capacity,crop,crop_water_requirement,recommended_irrigation,irrigation_note,fertilizer_strategy,fertilizer_caution
Alluvial,வண்டல் மண்,மணல் 31–62% / வண்டல் 15–39% / களிமண் 19–39%,மிதமான–நல்ல வடிகால்,6.8–8.4,0.30–1.49%,40–68%,நெல்,அதிகம்,surface/சொட்டு,நீர் நன்றாக கிடைத்தால்; சொட்டு பொதுவாக முதன்மை தேர்வு அல்ல,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Alluvial,வண்டல் மண்,மணல் 31–62% / வண்டல் 15–39% / களிமண் 19–39%,மிதமான–நல்ல வடிகால்,6.8–8.4,0.30–1.49%,40–68%,கரும்பு,அதிகம்,சொட்டு,நீர் சேமிப்பு மற்றும் துல்லிய பாசனத்திற்கு சொட்டு ஏற்றது,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Alluvial,வண்டல் மண்,மணல் 31–62% / வண்டல் 15–39% / களிமண் 19–39%,மிதமான–நல்ல வடிகால்,6.8–8.4,0.30–1.49%,40–68%,வாழை,அதிகம்,சொட்டு,சொட்டு பாசனம் பொதுவாக மிகவும் பொருத்தமானது,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Alluvial,வண்டல் மண்,மணல் 31–62% / வண்டல் 15–39% / களிமண் 19–39%,மிதமான–நல்ல வடிகால்,6.8–8.4,0.30–1.49%,40–68%,பருத்தி,மிதமான,சொட்டு/தெளிப்பு,குறைந்த நீர் நிலையில் சொட்டு உதவும்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Alluvial,வண்டல் மண்,மணல் 31–62% / வண்டல் 15–39% / களிமண் 19–39%,மிதமான–நல்ல வடிகால்,6.8–8.4,0.30–1.49%,40–68%,மக்காச்சோளம்,மிதமான,சொட்டு/தெளிப்பு,நீர் கிடைப்பைப் பொறுத்து தேர்வு,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Alluvial,வண்டல் மண்,மணல் 31–62% / வண்டல் 15–39% / களிமண் 19–39%,மிதமான–நல்ல வடிகால்,6.8–8.4,0.30–1.49%,40–68%,நிலக்கடலை,மிதமான,தெளிப்பு/சொட்டு,மண்ணின் வடிகால் மற்றும் நீர் கிடைப்பைப் பொறுத்தது,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Alluvial,வண்டல் மண்,மணல் 31–62% / வண்டல் 15–39% / களிமண் 19–39%,மிதமான–நல்ல வடிகால்,6.8–8.4,0.30–1.49%,40–68%,பயறு வகைகள்,குறைந்த–மிதமான,தெளிப்பு/சொட்டு,அதிக நீர்ப்பாசனம் தவிர்க்கவும்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Black Soil,கரிசல் மண்,மணல் 31–47% / வண்டல் 21–34% / களிமண் 31–39%,மிதமான–மெதுவான வடிகால்,7.0–8.4,0.30–1.49%,53–68%,பருத்தி,மிதமான,சொட்டு/தெளிப்பு,குறைந்த நீர் நிலையில் சொட்டு உதவும்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Black Soil,கரிசல் மண்,மணல் 31–47% / வண்டல் 21–34% / களிமண் 31–39%,மிதமான–மெதுவான வடிகால்,7.0–8.4,0.30–1.49%,53–68%,சோளம்,குறைந்த–மிதமான,தெளிப்பு/சொட்டு,குறைந்த நீரில் திட்டமிடலாம்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Black Soil,கரிசல் மண்,மணல் 31–47% / வண்டல் 21–34% / களிமண் 31–39%,மிதமான–மெதுவான வடிகால்,7.0–8.4,0.30–1.49%,53–68%,மக்காச்சோளம்,மிதமான,சொட்டு/தெளிப்பு,நீர் கிடைப்பைப் பொறுத்து தேர்வு,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Black Soil,கரிசல் மண்,மணல் 31–47% / வண்டல் 21–34% / களிமண் 31–39%,மிதமான–மெதுவான வடிகால்,7.0–8.4,0.30–1.49%,53–68%,பயறு வகைகள்,குறைந்த–மிதமான,தெளிப்பு/சொட்டு,அதிக நீர்ப்பாசனம் தவிர்க்கவும்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
