parcel_id,sample_date,pH,nitrogen,phosphorus,potassium,organic_carbon,electrical_conductivity,soil_type
P0001,2025-03-25,7.39,366.3,48.3,169.4,0.34,2.18,Loam
P0002,2025-04-27,7.71,379.4,26.6,172.9,1.4,0.34,Loam
P0002,2024-06-13,7.6,261.8,27.6,212.5,1.28,1.87,Loam
P0003,2024-01-29,7.79,299.6,19.2,177.5,1.07,0.11,Clay Loam
P0003,2024-07-23,7.38,207.8,14.1,114.7,0.92,2.43,Clay Loam
P0004,2024-05-13,8.04,312.0,49.6,150.3,0.87,1.86,Clay Loam
P0004,2024-09-23,6.02,286.0,26.4,142.0,0.4,0.98,Clay Loam
P0004,2025-02-06,8.13,384.5,54.2,129.4,1.44,2.32,Clay Loam
P0005,2025-09-18,7.38,373.9,58.7,123.6,1.14,0.51,Clay
P0005,2025-02-14,7.35,288.1,17.5,290.8,0.5,1.46,Clay
P0005,2024-01-15,7.66,241.8,56.0,179.8,1.11,0.38,Clay
P0006,2024-07-27,6.07,361.3,49.1,143.4,0.89,0.41,Loam
P0006,2024-07-30,7.3,398.7,24.1,229.0,0.8,1.08,Loam
P0006,2024-05-29,5.59,393.3,21.8,179.2,0.6,1.5,Loam
P0007,2025-04-14,5.76,251.3,53.6,294.4,0.78,0.61,Alluvial
P0007,2025-01-27,7.63,326.1,22.8,101.0,0.37,0.9,Alluvial
P0007,2024-08-28,6.91,219.2,40.3,227.6,1.26,1.8,Alluvial
P0008,2024-01-06,6.26,293.5,25.1,166.8,0.75,2.42,Clay
P0009,2024-02-12,7.24,192.9,35.2,284.7,1.35,0.42,Sandy Loam
P0009,2024-11-20,7.63,241.2,23.0,148.9,1.47,1.3,Sandy Loam
P0009,2024-10-14,7.74,379.3,24.1,272.9,1.04,1.93,Sandy Loam
P0010,2025-06-13,6.44,369.9,25.8,298.8,1.22,0.46,Sandy Loam
P0010,2025-11-04,7.41,243.2,19.4,92.0,0.52,1.23,Sandy Loam
P0011,2025-04-23,6.81,398.7,56.4,89.0,0.73,1.8,Clay Loam
P0012,2025-04-13,6.98,356.8,53.3,107.2,0.41,2.18,Sandy Loam
P0012,2024-07-03,8.0,330.0,51.1,203.9,1.1,0.61,Sandy Loam
P0013,2025-06-22,7.8,170.6,56.0,134.2,0.9,0.33,Loam
P0014,2024-01-27,6.35,394.8,16.1,162.2,1.41,0.35,Clay
P0014,2024-11-27,5.96,142.7,51.5,225.1,0.84,2.39,Clay
P0015,2025-11-04,5.52,391.5,42.8,289.2,0.69,1.86,Sandy Loam
P0015,2025-08-05,5.89,361.7,50.1,142.2,1.26,1.89,Sandy Loam
P0015,2025-07-14,8.36,226.8,29.9,119.2,1.46,2.18,Sandy Loam
P0016,2024-01-22,8.06,165.6,49.0,142.7,1.2,1.67,Clay
P0017,2024-11-01,6.97,241.1,50.3,148.2,1.12,0.42,Sandy Loam
P0018,2024-04-08,8.0,263.5,34.5,274.8,0.87,1.45,Loam
P0018,2025-03-09,5.77,238.3,28.4,121.0,1.06,0.32,Loam
P0018,2025-06-09,6.53,249.8,21.2,231.0,0.49,1.29,Loam
P0019,2025-10-24,7.07,201.4,31.9,279.6,0.87,0.46,Clay Loam
P0019,2024-05-10,7.55,204.1,22.4,174.1,0.98,1.42,Clay Loam
P0019,2024-02-16,7.04,263.0,30.7,182.2,1.16,2.05,Clay Loam
P0020,2024-09-17,7.26,335.2,10.8,242.9,0.86,1.99,Clay Loam
P0020,2025-02-06,5.64,236.6,45.2,149.1,1.17,1.92,Clay Loam
P0021,2025-09-30,7.92,215.6,55.9,258.2,0.55,0.29,Clay
P0021,2025-09-10,6.28,308.6,31.7,83.9,0.77,0.13,Clay
P0022,2025-05-03,6.88,233.4,42.9,243.7,1.17,0.83,Clay
P0022,2025-09-23,6.58,308.7,44.5,166.9,0.66,0.4,Clay
P0022,2024-01-15,6.07,348.5,44.8,121.4,0.33,1.25,Clay
P0023,2025-10-27,6.23,355.8,52.9,198.5,0.4,1.95,Sandy Loam
P0024,2025-04-30,6.77,152.6,55.1,242.5,0.83,1.26,Loam
P0025,2025-04-05,7.26,176.4,38.5,263.4,0.36,0.12,Sandy Loam
P0026,2025-03-18,8.44,357.6,46.9,211.1,0.97,0.8,Clay
P0026,2025-05-14,6.7,263.7,46.2,285.8,1.39,2.18,Clay
P0026,2024-08-25,7.64,267.9,31.1,149.5,0.38,2.24,Clay
P0027,2025-04-29,5.85,294.4,42.3,178.6,0.82,0.49,Clay Loam
P0027,2024-07-15,6.91,242.7,35.4,209.3,1.12,2.31,Clay Loam
P0028,2025-11-03,6.91,367.3,46.1,165.9,0.8,2.36,Alluvial
P0028,2025-10-30,7.7,342.9,50.0,265.8,1.05,0.78,Alluvial
P0028,2024-03-29,7.5,156.1,20.0,213.3,0.42,1.1,Alluvial
P0029,2024-11-06,6.2,275.9,60.0,158.9,0.61,1.72,Clay Loam
P0029,2024-06-27,7.98,370.4,11.6,94.0,0.82,1.58,Clay Loam
P0030,2025-07-29,6.17,192.2,27.0,158.2,0.36,2.21,Clay Loam
P0031,2024-06-03,8.06,364.6,40.2,102.9,0.36,2.37,Sandy Loam
P0031,2025-04-13,8.39,331.6,58.7,252.0,1.03,2.16,Sandy Loam
P0032,2025-07-29,5.63,149.5,41.5,271.6,1.39,0.48,Loam
P0033,2025-03-28,7.79,259.5,53.5,113.9,0.74,2.07,Alluvial
P0033,2024-05-05,8.05,243.0,30.8,249.2,0.59,2.04,Alluvial
P0034,2024-10-20,7.02,143.9,28.6,246.1,0.73,1.7,Alluvial
P0034,2024-06-04,7.76,268.3,49.4,110.4,0.81,2.3,Alluvial
P0035,2025-06-12,7.88,221.3,11.5,112.0,0.31,2.03,Clay Loam
P0035,2024-03-12,5.75,208.1,59.1,116.2,0.37,1.92,Clay Loam
P0036,2025-10-18,5.95,280.9,58.9,295.6,1.26,2.2,Alluvial
P0036,2024-10-29,6.76,368.0,45.0,272.2,1.17,0.85,Alluvial
P0036,2024-12-18,5.52,198.3,36.4,282.5,1.14,1.17,Alluvial
P0037,2025-07-11,7.37,293.1,32.1,156.0,1.27,1.66,Clay
P0038,2024-11-04,5.75,270.5,29.5,238.2,1.36,1.35,Sandy Loam
P0039,2024-10-17,6.14,263.3,25.6,155.0,1.06,0.16,Clay
P0039,2025-07-06,7.28,187.6,48.7,239.8,1.48,0.37,Clay
P0039,2024-03-02,8.02,192.7,35.4,107.2,1.21,2.36,Clay
P0040,2024-11-01,7.22,121.5,26.9,131.9,1.19,1.5,Loam
P0040,2025-10-04,7.5,356.5,21.7,145.8,1.1,2.06,Loam
P0041,2025-11-19,5.92,225.7,46.9,103.1,0.92,0.56,Alluvial
