canonical_answer_id,intent,crop,answer
ans_4200be0bb5,loan_info,Groundnut,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_125e69af9f,yield_expectation,Groundnut,"Groundnut yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_c1e7f3a3ef,crop_selection_for_soil,Rice,"Rice grows well in Alluvial, Clay, Black cotton soil. If your soil test report shows different values, match it against the crop suitability table for your district's Agriculture Extension Office before finalizing."
ans_d5e4ffa2b5,yield_expectation,Brinjal,"Brinjal yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_b9901eebfb,sowing_time,Green gram,The recommended sowing window for Green gram in Tamil Nadu is Jun-Jul or Feb-Mar.
ans_bb9eb984a3,water_requirement,Black gram,Black gram needs about 300-450mm of water across its growing period. Adjust for local rainfall and soil water-holding capacity.
ans_4d3fdc3734,yield_expectation,Sesame,"Sesame yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_b1902e13c6,loan_info,Coconut,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_e7c3b03592,fertilizer_schedule,Onion,"For Onion, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_f95343e907,yield_expectation,Cotton,"Cotton yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_96e6c3efd3,market_price,Tomato,Market prices for Tomato change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_d80b7e2666,crop_selection_for_soil,Sorghum,"Sorghum grows well in Black cotton, Red loamy soil. If your soil test report shows different values, match it against the crop suitability table for your district's Agriculture Extension Office before finalizing."
ans_8bf9a90785,fertilizer_schedule,Chilli,"For Chilli, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_c0698a312b,sowing_time,Tomato,"The recommended sowing window for Tomato in Tamil Nadu is Jun-Jul, Sep-Oct or Jan-Feb."
ans_6d96f21dcb,yield_expectation,Green gram,"Green gram yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_c1cfd83295,soil_suitability_check,Cotton,"Cotton suits Black cotton, Alluvial soil types. Upload your soil test report (pH, N, P, K) for a precise suitability check against your actual field data."
ans_871b93c944,market_price,Cotton,Market prices for Cotton change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_40e0bc3de0,seed_variety,Rice,"Choose a Rice variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_5fb7336d18,loan_info,Chilli,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_e7724e8c13,yield_expectation,Tomato,"Tomato yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_170b6d7bbf,pest_disease,Millet (Bajra),"Millet (Bajra) is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_3b9350e2f7,pest_disease,Sorghum,"Sorghum is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_3f0e74ab30,yield_expectation,Banana,"Banana yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_287ebfb7fa,soil_suitability_check,Groundnut,"Groundnut suits Red loamy, Sandy loam soil types. Upload your soil test report (pH, N, P, K) for a precise suitability check against your actual field data."
ans_5803506982,seed_variety,Sorghum,"Choose a Sorghum variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_430a959c72,water_requirement,Sugarcane,Sugarcane needs about 1800-2500mm across 10-12 months of water across its growing period. Adjust for local rainfall and soil water-holding capacity.
